"REF_DATE","Products and product groups","VALUE"
"1914-01","All-items",6
"1914-02","All-items",6
"1914-03","All-items",6
"1914-04","All-items",6
"1914-05","All-items",5.9
"1914-06","All-items",6
"1914-07","All-items",5.9
"1914-08","All-items",6
"1914-09","All-items",6
"1914-10","All-items",6.1
"1914-11","All-items",6.1
"1914-12","All-items",6.1
"1915-01","All-items",6.1
"1915-02","All-items",6.1
"1915-03","All-items",6.1
"1915-04","All-items",6.1
"1915-05","All-items",6.1
"1915-06","All-items",6.1
"1915-07","All-items",6.1
"1915-08","All-items",6.1
"1915-09","All-items",6.1
"1915-10","All-items",6.1
"1915-11","All-items",6.3
"1915-12","All-items",6.3
"1916-01","All-items",6.4
"1916-02","All-items",6.5
"1916-03","All-items",6.5
"1916-04","All-items",6.5
"1916-05","All-items",6.5
"1916-06","All-items",6.6
"1916-07","All-items",6.6
"1916-08","All-items",6.6
"1916-09","All-items",6.8
"1916-10","All-items",6.9
"1916-11","All-items",7.1
"1916-12","All-items",7.2
"1917-01","All-items",7.4
"1917-02","All-items",7.4
"1917-03","All-items",7.6
"1917-04","All-items",7.6
"1917-05","All-items",7.9
"1917-06","All-items",8
"1917-07","All-items",8
"1917-08","All-items",8
"1917-09","All-items",8
"1917-10","All-items",8.2
"1917-11","All-items",8.2
"1917-12","All-items",8.3
"1918-01","All-items",8.4
"1918-02","All-items",8.5
"1918-03","All-items",8.6
"1918-04","All-items",8.6
"1918-05","All-items",8.7
"1918-06","All-items",8.8
"1918-07","All-items",8.9
"1918-08","All-items",9.2
"1918-09","All-items",9.2
"1918-10","All-items",9.3
"1918-11","All-items",9.4
"1918-12","All-items",9.4
"1919-01","All-items",9.5
"1919-02","All-items",9.4
"1919-03","All-items",9.4
"1919-04","All-items",9.4
"1919-05","All-items",9.7
"1919-06","All-items",9.7
"1919-07","All-items",9.8
"1919-08","All-items",10
"1919-09","All-items",10
"1919-10","All-items",10
"1919-11","All-items",10.1
"1919-12","All-items",10.2
"1920-01","All-items",10.6
"1920-02","All-items",10.8
"1920-03","All-items",11.2
"1920-04","All-items",11.3
"1920-05","All-items",11.6
"1920-06","All-items",11.8
"1920-07","All-items",11.8
"1920-08","All-items",11.7
"1920-09","All-items",11.5
"1920-10","All-items",11.5
"1920-11","All-items",11.3
"1920-12","All-items",11.2
"1921-01","All-items",11
"1921-02","All-items",10.8
"1921-03","All-items",10.5
"1921-04","All-items",10.2
"1921-05","All-items",10
"1921-06","All-items",9.7
"1921-07","All-items",9.7
"1921-08","All-items",9.7
"1921-09","All-items",9.7
"1921-10","All-items",9.7
"1921-11","All-items",9.4
"1921-12","All-items",9.4
"1922-01","All-items",9.4
"1922-02","All-items",9.3
"1922-03","All-items",9.2
"1922-04","All-items",9.2
"1922-05","All-items",9.1
"1922-06","All-items",9.1
"1922-07","All-items",9.1
"1922-08","All-items",9.2
"1922-09","All-items",9.2
"1922-10","All-items",9.2
"1922-11","All-items",9.2
"1922-12","All-items",9.2
"1923-01","All-items",9.2
"1923-02","All-items",9.2
"1923-03","All-items",9.3
"1923-04","All-items",9.2
"1923-05","All-items",9.2
"1923-06","All-items",9.2
"1923-07","All-items",9.1
"1923-08","All-items",9.2
"1923-09","All-items",9.2
"1923-10","All-items",9.2
"1923-11","All-items",9.2
"1923-12","All-items",9.2
"1924-01","All-items",9.2
"1924-02","All-items",9.2
"1924-03","All-items",9.2
"1924-04","All-items",9
"1924-05","All-items",8.9
"1924-06","All-items",8.8
"1924-07","All-items",8.8
"1924-08","All-items",9
"1924-09","All-items",9
"1924-10","All-items",9
"1924-11","All-items",9.1
"1924-12","All-items",9.1
"1925-01","All-items",9.2
"1925-02","All-items",9.2
"1925-03","All-items",9.2
"1925-04","All-items",9.1
"1925-05","All-items",9
"1925-06","All-items",9
"1925-07","All-items",9
"1925-08","All-items",9.1
"1925-09","All-items",9.1
"1925-10","All-items",9.2
"1925-11","All-items",9.2
"1925-12","All-items",9.3
"1926-01","All-items",9.2
"1926-02","All-items",9.2
"1926-03","All-items",9.2
"1926-04","All-items",9.2
"1926-05","All-items",9.2
"1926-06","All-items",9.2
"1926-07","All-items",9.2
"1926-08","All-items",9.2
"1926-09","All-items",9.2
"1926-10","All-items",9.2
"1926-11","All-items",9.2
"1926-12","All-items",9.2
"1927-01","All-items",9.2
"1927-02","All-items",9.2
"1927-03","All-items",9.1
"1927-04","All-items",9
"1927-05","All-items",9
"1927-06","All-items",9
"1927-07","All-items",9.1
"1927-08","All-items",9
"1927-09","All-items",9
"1927-10","All-items",9
"1927-11","All-items",9.1
"1927-12","All-items",9.1
"1928-01","All-items",9.2
"1928-02","All-items",9.2
"1928-03","All-items",9.1
"1928-04","All-items",9.1
"1928-05","All-items",9
"1928-06","All-items",9
"1928-07","All-items",9
"1928-08","All-items",9.2
"1928-09","All-items",9.2
"1928-10","All-items",9.2
"1928-11","All-items",9.2
"1928-12","All-items",9.2
"1929-01","All-items",9.2
"1929-02","All-items",9.2
"1929-03","All-items",9.2
"1929-04","All-items",9.1
"1929-05","All-items",9.2
"1929-06","All-items",9.2
"1929-07","All-items",9.2
"1929-08","All-items",9.2
"1929-09","All-items",9.2
"1929-10","All-items",9.3
"1929-11","All-items",9.3
"1929-12","All-items",9.4
"1930-01","All-items",9.4
"1930-02","All-items",9.4
"1930-03","All-items",9.3
"1930-04","All-items",9.2
"1930-05","All-items",9.2
"1930-06","All-items",9.2
"1930-07","All-items",9.2
"1930-08","All-items",9.2
"1930-09","All-items",8.9
"1930-10","All-items",8.9
"1930-11","All-items",8.9
"1930-12","All-items",8.8
"1931-01","All-items",8.7
"1931-02","All-items",8.6
"1931-03","All-items",8.5
"1931-04","All-items",8.4
"1931-05","All-items",8.3
"1931-06","All-items",8.2
"1931-07","All-items",8.1
"1931-08","All-items",8.2
"1931-09","All-items",8.1
"1931-10","All-items",7.9
"1931-11","All-items",7.9
"1931-12","All-items",7.9
"1932-01","All-items",7.8
"1932-02","All-items",7.6
"1932-03","All-items",7.6
"1932-04","All-items",7.6
"1932-05","All-items",7.4
"1932-06","All-items",7.4
"1932-07","All-items",7.4
"1932-08","All-items",7.4
"1932-09","All-items",7.4
"1932-10","All-items",7.3
"1932-11","All-items",7.3
"1932-12","All-items",7.3
"1933-01","All-items",7.2
"1933-02","All-items",7.2
"1933-03","All-items",7.1
"1933-04","All-items",7.1
"1933-05","All-items",7.1
"1933-06","All-items",7.1
"1933-07","All-items",7.1
"1933-08","All-items",7.2
"1933-09","All-items",7.2
"1933-10","All-items",7.1
"1933-11","All-items",7.1
"1933-12","All-items",7.1
"1934-01","All-items",7.2
"1934-02","All-items",7.2
"1934-03","All-items",7.3
"1934-04","All-items",7.3
"1934-05","All-items",7.2
"1934-06","All-items",7.2
"1934-07","All-items",7.2
"1934-08","All-items",7.2
"1934-09","All-items",7.2
"1934-10","All-items",7.2
"1934-11","All-items",7.2
"1934-12","All-items",7.2
"1935-01","All-items",7.2
"1935-02","All-items",7.2
"1935-03","All-items",7.2
"1935-04","All-items",7.2
"1935-05","All-items",7.2
"1935-06","All-items",7.2
"1935-07","All-items",7.2
"1935-08","All-items",7.2
"1935-09","All-items",7.3
"1935-10","All-items",7.3
"1935-11","All-items",7.4
"1935-12","All-items",7.4
"1936-01","All-items",7.4
"1936-02","All-items",7.4
"1936-03","All-items",7.4
"1936-04","All-items",7.3
"1936-05","All-items",7.3
"1936-06","All-items",7.3
"1936-07","All-items",7.4
"1936-08","All-items",7.4
"1936-09","All-items",7.4
"1936-10","All-items",7.5
"1936-11","All-items",7.5
"1936-12","All-items",7.5
"1937-01","All-items",7.6
"1937-02","All-items",7.6
"1937-03","All-items",7.6
"1937-04","All-items",7.6
"1937-05","All-items",7.6
"1937-06","All-items",7.6
"1937-07","All-items",7.6
"1937-08","All-items",7.7
"1937-09","All-items",7.7
"1937-10","All-items",7.8
"1937-11","All-items",7.8
"1937-12","All-items",7.8
"1938-01","All-items",7.7
"1938-02","All-items",7.7
"1938-03","All-items",7.8
"1938-04","All-items",7.8
"1938-05","All-items",7.7
"1938-06","All-items",7.7
"1938-07","All-items",7.8
"1938-08","All-items",7.8
"1938-09","All-items",7.7
"1938-10","All-items",7.6
