"REF_DATE","Products and product groups","VALUE"
1986,"All-items",100
1986,"Meat",3.3
1986,"Fish, seafood and other marine products",NA
1986,"Dairy products and eggs",2.22
1986,"Bakery and cereal products (excluding baby food)",1.65
1986,"Fruit, fruit preparations and nuts",1.36
1986,"Vegetables and vegetable preparations",1.18
1986,"Other food products and non-alcoholic beverages",NA
1986,"Food purchased from restaurants",5.08
1986,"Rented accommodation",7.75
1986,"Mortgage interest cost",4.31
1986,"Homeowners' replacement cost",3.31
1986,"Property taxes and other special charges",2.83
1986,"Homeowners' home and mortgage insurance",0.73
1986,"Homeowners' maintenance and repairs",1.32
1986,"Other owned accommodation expenses",1.06
1986,"Electricity",1.89
1986,"Water",0.33
1986,"Natural gas",0.85
1986,"Fuel oil and other fuels",0.4
1986,"Communications",1.57
1986,"Child care and housekeeping services",1.15
1986,"Household cleaning products",NA
1986,"Paper, plastic and aluminum foil supplies",0.87
1986,"Other household goods and services",NA
1986,"Furniture",1.55
1986,"Household textiles",0.62
1986,"Household equipment",1.96
1986,"Services related to household furnishings and equipment",0.26
1986,"Clothing",6.8
1986,"Footwear",NA
1986,"Clothing accessories, watches and jewellery",NA
1986,"Clothing material, notions and services",0.86
1986,"Purchase of passenger vehicles",8.19
1986,"Leasing of passenger vehicles",NA
1986,"Rental of passenger vehicles",NA
1986,"Gasoline",3.09
1986,"Passenger vehicle parts, maintenance and repairs",NA
1986,"Other passenger vehicle operating expenses",NA
1986,"Local and commuter transportation",0.76
1986,"Inter-city transportation",0.83
1986,"Health care goods",NA
1986,"Health care services",NA
1986,"Personal care supplies and equipment",1.62
1986,"Personal care services",0.98
1986,"Recreational equipment and services (excluding recreational vehicles)",1.71
1986,"Purchase of recreational vehicles and outboard motors",0.61
1986,"Operation of recreational vehicles",0.31
1986,"Home entertainment equipment, parts and services",1.39
1986,"Travel services",1.74
1986,"Other cultural and recreational services",NA
1986,"Education",1.3
1986,"Reading material (excluding textbooks)",0.85
1986,"Alcoholic beverages served in licensed establishments",1.4
1986,"Alcoholic beverages purchased from stores",2.41
1986,"Tobacco products and smokers' supplies",2.1
1992,"All-items",100
1992,"Meat",2.94
1992,"Fish, seafood and other marine products",0.45
1992,"Dairy products and eggs",1.95
1992,"Bakery and cereal products (excluding baby food)",1.91
1992,"Fruit, fruit preparations and nuts",1.31
1992,"Vegetables and vegetable preparations",1.27
1992,"Other food products and non-alcoholic beverages",2.74
1992,"Food purchased from restaurants",5.42
1992,"Rented accommodation",7.27
1992,"Mortgage interest cost",5.67
1992,"Homeowners' replacement cost",3.5
1992,"Property taxes and other special charges",3.32
1992,"Homeowners' home and mortgage insurance",0.87
1992,"Homeowners' maintenance and repairs",1.3
1992,"Other owned accommodation expenses",1.24
1992,"Electricity",2.82
1992,"Water",0.47
1992,"Natural gas",0.88
1992,"Fuel oil and other fuels",0.54
1992,"Communications",2.02
1992,"Child care and housekeeping services",1.14
1992,"Household cleaning products",0.7
1992,"Paper, plastic and aluminum foil supplies",0.76
1992,"Other household goods and services",1.28
1992,"Furniture",1.49
1992,"Household textiles",0.54
1992,"Household equipment",1.78
1992,"Services related to household furnishings and equipment",0.32
1992,"Clothing",4.34
1992,"Footwear",0.91
1992,"Clothing accessories, watches and jewellery",0.73
1992,"Clothing material, notions and services",0.64
1992,"Purchase of passenger vehicles",7.09
1992,"Leasing of passenger vehicles",NA
1992,"Rental of passenger vehicles",NA
1992,"Gasoline",3.54
1992,"Passenger vehicle parts, maintenance and repairs",2.03
1992,"Other passenger vehicle operating expenses",3.7
1992,"Local and commuter transportation",0.58
1992,"Inter-city transportation",0.88
1992,"Health care goods",NA
1992,"Health care services",NA
1992,"Personal care supplies and equipment",1.6
1992,"Personal care services",0.96
1992,"Recreational equipment and services (excluding recreational vehicles)",1.79
1992,"Purchase of recreational vehicles and outboard motors",0.79
1992,"Operation of recreational vehicles",0.37
1992,"Home entertainment equipment, parts and services",1.39
1992,"Travel services",1.66
1992,"Other cultural and recreational services",2.04
1992,"Education",1.56
1992,"Reading material (excluding textbooks)",0.76
1992,"Alcoholic beverages served in licensed establishments",0.96
1992,"Alcoholic beverages purchased from stores",2
1992,"Tobacco products and smokers' supplies",1.55
1996,"All-items",100
1996,"Meat",2.9
1996,"Fish, seafood and other marine products",0.41
1996,"Dairy products and eggs",2.08
1996,"Bakery and cereal products (excluding baby food)",2.04
1996,"Fruit, fruit preparations and nuts",1.4
1996,"Vegetables and vegetable preparations",1.25
1996,"Other food products and non-alcoholic beverages",2.82
1996,"Food purchased from restaurants",4.98
1996,"Rented accommodation",7.17
1996,"Mortgage interest cost",4.91
1996,"Homeowners' replacement cost",2.68
1996,"Property taxes and other special charges",3.55
1996,"Homeowners' home and mortgage insurance",1.05
1996,"Homeowners' maintenance and repairs",1.69
1996,"Other owned accommodation expenses",1.07
1996,"Electricity",2.65
1996,"Water",0.39
1996,"Natural gas",1.02
1996,"Fuel oil and other fuels",0.58
1996,"Communications",2.79
1996,"Child care and housekeeping services",1.11
1996,"Household cleaning products",0.73
1996,"Paper, plastic and aluminum foil supplies",0.79
1996,"Other household goods and services",1.48
1996,"Furniture",1.37
1996,"Household textiles",0.52
1996,"Household equipment",1.64
1996,"Services related to household furnishings and equipment",0.33
1996,"Clothing",4.17
1996,"Footwear",0.93
1996,"Clothing accessories, watches and jewellery",0.55
1996,"Clothing material, notions and services",0.59
1996,"Purchase of passenger vehicles",6.3
1996,"Leasing of passenger vehicles",0.72
1996,"Rental of passenger vehicles",0.1
1996,"Gasoline",3.93
1996,"Passenger vehicle parts, maintenance and repairs",2.3
1996,"Other passenger vehicle operating expenses",3.98
1996,"Local and commuter transportation",0.63
1996,"Inter-city transportation",1
1996,"Health care goods",NA
1996,"Health care services",NA
1996,"Personal care supplies and equipment",1.55
1996,"Personal care services",0.95
1996,"Recreational equipment and services (excluding recreational vehicles)",2.06
1996,"Purchase of recreational vehicles and outboard motors",0.67
1996,"Operation of recreational vehicles",0.41
1996,"Home entertainment equipment, parts and services",1.56
1996,"Travel services",1.69
1996,"Other cultural and recreational services",2.2
1996,"Education",1.92
1996,"Reading material (excluding textbooks)",0.75
1996,"Alcoholic beverages served in licensed establishments",0.58
1996,"Alcoholic beverages purchased from stores",1.3
1996,"Tobacco products and smokers' supplies",1.66
2001,"All-items",100
2001,"Meat",2.43
2001,"Fish, seafood and other marine products",0.36
2001,"Dairy products and eggs",1.76
2001,"Bakery and cereal products (excluding baby food)",1.75
2001,"Fruit, fruit preparations and nuts",1.31
